string,class
Monday 22nd of September 1902,Date
08/06/1988,Date
19/05/1974,Date
07/01/1935,Date
1934-11-27,Date
Wednesday 14th of June 1995,Date
17/09/1984,Date
25/06/1969,Date
"Monday, November 20, 1950",Date
"Thursday, November 17, 1927",Date
1904-04-13,Date
09/05/2017,Date
28/09/1994,Date
"Monday, October 8, 1900",Date
Friday 22nd of February 1963,Date
05/05/1966,Date
09/21/1923,Date
09/14/1967,Date
07/06/1949,Date
1967-04-07,Date
Tuesday 19th of April 2016,Date
"Wednesday, August 4, 1976",Date
1945-07-28,Date
10/01/1986,Date
05/25/1904,Date
"Thursday, October 21, 1971",Date
1941-08-23,Date
04/02/2001,Date
11/14/1918,Date
Wednesday 15th of October 2014,Date
"Tuesday, April 19, 1932",Date
"Monday, November 28, 1904",Date
03/22/2018,Date
"Thursday, April 17, 1986",Date
1935-09-12,Date
Tuesday 24th of September 1929,Date
1933-07-29,Date
1993-08-05,Date
09/11/1953,Date
12/10/1989,Date
1914-02-27,Date
1990-06-28,Date
02/01/1924,Date
"Thursday, December 28, 1939",Date
"Friday, September 7, 1990",Date
11/15/1989,Date
Friday 13th of February 2009,Date
08/22/1997,Date
"Monday, December 24, 1951",Date
Wednesday 13th of August 1975,Date
06/17/1952,Date
12/05/1994,Date
Sunday 28th of June 1992,Date
05/13/1953,Date
04/10/1976,Date
12/27/1986,Date
"Wednesday, August 6, 1913",Date
"Sunday, January 20, 2019",Date
Sunday 30th of June 1968,Date
08/08/1983,Date
04/11/1909,Date
Saturday 25th of August 1990,Date
"Thursday, February 25, 1960",Date
"Wednesday, August 17, 1983",Date
1997-01-23,Date
Monday 12th of November 1990,Date
Friday 29th of June 1990,Date
Friday 3rd of July 1931,Date
06/11/1992,Date
12/27/1941,Date
"Friday, January 17, 2003",Date
"Wednesday, March 26, 1919",Date
"Monday, August 31, 1908",Date
"Wednesday, October 11, 1978",Date
31/03/1913,Date
23/02/1952,Date
10/29/1921,Date
Sunday 25th of September 1994,Date
Friday 1st of November 1985,Date
10/14/1943,Date
Saturday 4th of April 1987,Date
10/20/1923,Date
08/27/1904,Date
08/12/1905,Date
13/03/1904,Date
"Tuesday, May 6, 1958",Date
"Sunday, July 18, 1954",Date
2016-04-23,Date
Sunday 5th of May 1957,Date
1980-03-26,Date
27/04/1952,Date
"Tuesday, October 31, 1967",Date
"Wednesday, February 17, 1926",Date
Wednesday 30th of June 1920,Date
07/21/1962,Date
Friday 11th of August 1933,Date
"Tuesday, August 14, 1923",Date
29/11/1949,Date
01/04/1918,Date
1971-07-27,Date
1904-04-13,Date
1996-02-09,Date
10/18/2009,Date
Friday 8th of April 1932,Date
"Tuesday, November 24, 1959",Date
01/22/1911,Date
1987-08-14,Date
09/30/2012,Date
1982-07-07,Date
01/09/1963,Date
"Wednesday, November 24, 1909",Date
24/07/1963,Date
17/07/1948,Date
1906-09-13,Date
06/01/1970,Date
Monday 24th of July 2017,Date
06/17/1963,Date
29/05/1913,Date
22/05/1904,Date
1908-02-09,Date
"Wednesday, February 7, 1934",Date
2000-03-02,Date
10/15/2017,Date
1974-10-23,Date
11/15/1950,Date
1980-03-01,Date
1998-10-05,Date
1959-11-06,Date
1947-01-10,Date
"Monday, April 2, 2012",Date
Monday 29th of August 1932,Date
1917-08-13,Date
1918-11-18,Date
Tuesday 5th of July 1983,Date
"Wednesday, July 4, 1945",Date
03/05/1940,Date
05/10/2004,Date
06/01/1999,Date
"Saturday, July 16, 1932",Date
20/06/1902,Date
12/01/1930,Date
"Saturday, May 19, 1928",Date
"Sunday, November 9, 1952",Date
10/08/1952,Date
12/12/1906,Date
"Saturday, July 2, 1921",Date
22/04/1997,Date
1975-08-07,Date
1904-12-26,Date
04/25/1971,Date
Monday 8th of December 2008,Date
1993-01-21,Date
05/27/1910,Date
"Tuesday, April 11, 1911",Date
"Friday, October 7, 1966",Date
Tuesday 3rd of May 1977,Date
1943-05-08,Date
"Tuesday, September 27, 1949",Date
12/20/1943,Date
Tuesday 9th of February 1954,Date
12/01/1996,Date
1936-04-09,Date
07/16/1921,Date
12/22/2001,Date
"Wednesday, May 16, 1945",Date
"Sunday, February 17, 1963",Date
24/12/1908,Date
11/09/2017,Date
07/04/1901,Date
01/04/1974,Date
03/12/2003,Date
08/20/1942,Date
30/04/1914,Date
1972-02-25,Date
1974-11-18,Date
Wednesday 30th of September 1959,Date
"Tuesday, November 17, 2009",Date
1989-03-25,Date
09/19/2002,Date
"Wednesday, June 16, 1971",Date
10/06/1965,Date
1912-10-17,Date
10/29/1902,Date
Monday 17th of April 2000,Date
12/01/1968,Date
Tuesday 30th of December 1913,Date
"Friday, August 16, 1963",Date
31/01/1910,Date
1901-12-03,Date
12/07/2017,Date
Wednesday 23rd of September 1908,Date
"Monday, August 6, 1928",Date
1968-03-16,Date
"Monday, January 31, 1938",Date
1939-12-21,Date
30/04/1931,Date
1983-05-12,Date
19/01/1949,Date
11/21/1977,Date
02/10/2002,Date
"Monday, September 27, 1915",Date
12/16/1996,Date
Friday 20th of September 2013,Date
Saturday 29th of December 2012,Date
15/10/1956,Date
1989-09-12,Date
1975-09-04,Date
"Sunday, September 28, 1930",Date
07/21/2012,Date
08/03/1908,Date
1937-10-11,Date
15/07/1962,Date
05/08/1984,Date
26/03/1958,Date
06/06/1973,Date
"Wednesday, April 2, 1969",Date
1939-09-14,Date
1942-01-03,Date
"Wednesday, December 17, 1913",Date
02/20/1962,Date
25/09/1976,Date
Wednesday 11th of February 1903,Date
"Wednesday, August 5, 1903",Date
"Tuesday, February 7, 1995",Date
1972-06-19,Date
23/12/1968,Date
Saturday 23rd of June 1934,Date
20/11/1964,Date
03/28/2006,Date
Tuesday 23rd of February 1999,Date
09/16/1959,Date
Sunday 9th of December 1962,Date
09/13/1942,Date
1995-01-31,Date
Tuesday 5th of January 1960,Date
1920-11-04,Date
Tuesday 29th of December 1998,Date
23/08/1946,Date
2017-05-15,Date
Monday 19th of May 1997,Date
20/12/1919,Date
29/07/1951,Date
"Saturday, May 23, 1908",Date
"Monday, September 21, 1936",Date
Sunday 17th of March 1907,Date
25/07/1965,Date
1980-11-03,Date
11/11/2000,Date
Sunday 7th of March 1982,Date
1901-08-13,Date
Monday 1st of August 2011,Date
05/11/1975,Date
"Sunday, August 7, 1960",Date
05/12/1935,Date
03/01/1937,Date
01/05/1989,Date
10/27/1957,Date
1910-06-08,Date
"Friday, August 5, 1921",Date
"Friday, December 5, 1902",Date
"Tuesday, February 21, 2006",Date
01/02/1940,Date
09/11/1918,Date
Tuesday 3rd of November 1914,Date
1902-03-30,Date
"Saturday, July 21, 1900",Date
"Sunday, August 21, 2005",Date
"Friday, April 10, 1903",Date
Wednesday 30th of December 1925,Date
"Sunday, April 2, 1933",Date
02/11/2001,Date
"Thursday, February 12, 1942",Date
Saturday 16th of January 1993,Date
16/02/1940,Date
03/07/1961,Date
25/02/1917,Date
Tuesday 4th of May 1993,Date
2007-11-07,Date
"Friday, August 17, 1945",Date
08/08/1933,Date
"Friday, May 12, 1972",Date
"Tuesday, April 7, 1970",Date
1927-04-22,Date
Wednesday 17th of June 1903,Date
15/07/1991,Date
19/06/1913,Date
05/05/1946,Date
"Sunday, August 3, 1941",Date
Sunday 9th of August 1987,Date
Friday 19th of October 2001,Date
1972-04-17,Date
05/09/1972,Date
12/03/1962,Date
Sunday 15th of February 1953,Date
04/20/2013,Date
Friday 28th of February 1913,Date
23/05/1923,Date
Wednesday 22nd of April 1903,Date
09/26/1970,Date
01/03/1921,Date
"Friday, April 27, 1984",Date
"Thursday, January 23, 1913",Date
1908-08-29,Date
Monday 29th of October 1923,Date
13/08/1934,Date
02/04/1926,Date
02/01/1981,Date
08/17/1908,Date
"Saturday, October 14, 2000",Date
05/11/1997,Date
Saturday 4th of October 2014,Date
Friday 17th of June 1927,Date
1932-04-20,Date
07/10/1912,Date
31/12/1949,Date
09/10/2011,Date
03/24/1967,Date
1955-02-15,Date
13/04/1936,Date
2018-02-10,Date
15/01/1991,Date
Tuesday 27th of November 1984,Date
Saturday 1st of April 1989,Date
Thursday 16th of July 1992,Date
Monday 21st of December 1925,Date
25/08/1958,Date
"Friday, July 23, 1937",Date
30/01/1937,Date
24/07/1954,Date
10/05/2014,Date
"Wednesday, February 20, 2002",Date
"Thursday, January 28, 1988",Date
11/29/2017,Date
1905-01-29,Date
Sunday 5th of May 1991,Date
05/27/1950,Date
1918-12-22,Date
20/05/1939,Date
02/04/1982,Date
"Wednesday, January 18, 1984",Date
2014-10-14,Date
Monday 14th of October 1901,Date
Thursday 20th of January 1977,Date
22/06/1981,Date
1932-02-17,Date
1902-09-07,Date
08/16/1924,Date
25/02/1938,Date
2012-12-15,Date
25/09/1965,Date
"Saturday, October 1, 1910",Date
1922-08-22,Date
"Monday, September 24, 2012",Date
Friday 5th of September 1969,Date
05/11/1997,Date
"Tuesday, August 20, 1946",Date
09/13/1982,Date
29/04/2019,Date
Wednesday 11th of March 1987,Date
08/08/1927,Date
1913-12-22,Date
Sunday 5th of November 1995,Date
Saturday 26th of November 1955,Date
1917-06-01,Date
04/29/1955,Date
01/07/1940,Date
01/29/1989,Date
"Sunday, August 16, 1914",Date
"Monday, October 5, 1992",Date
"Saturday, January 23, 1904",Date
21/08/1988,Date
29/09/1988,Date
2005-03-25,Date
12/01/1984,Date
"Sunday, September 22, 1929",Date
Friday 30th of May 1986,Date
01/16/1964,Date
Tuesday 16th of May 1922,Date
"Sunday, October 12, 1913",Date
1992-03-17,Date
10/03/1930,Date
Tuesday 15th of September 2015,Date
"Saturday, September 10, 1960",Date
12/14/1992,Date
09/06/2018,Date
"Friday, May 17, 1912",Date
Tuesday 13th of December 1988,Date
01/09/1944,Date
Monday 26th of December 1932,Date
"Monday, November 23, 1936",Date
Saturday 29th of December 1962,Date
07/14/1969,Date
11/05/1993,Date
"Monday, June 5, 1978",Date
"Saturday, October 15, 2011",Date
"Tuesday, September 23, 1947",Date
1962-08-19,Date
"Tuesday, February 27, 1968",Date
10/01/2014,Date
Monday 27th of May 1996,Date
"Monday, December 1, 1902",Date
Wednesday 6th of November 1935,Date
Saturday 25th of September 1965,Date
1963-04-12,Date
Wednesday 22nd of February 1961,Date
09/23/1936,Date
1968-02-07,Date
04/01/1962,Date
03/24/1969,Date
"Saturday, December 29, 1962",Date
Friday 16th of March 1934,Date
08/11/1963,Date
28/07/1946,Date
03/03/2019,Date
1962-07-04,Date
09/04/2007,Date
"Monday, November 15, 1976",Date
"Friday, March 9, 1934",Date
1985-09-21,Date
07/05/1981,Date
2008-04-11,Date
10/29/1916,Date
Sunday 4th of April 1965,Date
06/11/1964,Date
11/23/1918,Date
1902-12-15,Date
1949-09-19,Date
27/10/1911,Date
01/21/2014,Date
11/06/1988,Date
1996-06-06,Date
Friday 30th of October 1936,Date
04/21/1945,Date
Tuesday 29th of May 2012,Date
"Thursday, December 30, 1937",Date
21/03/2017,Date
16/06/1916,Date
08/12/1937,Date
"Saturday, July 27, 1946",Date
Friday 29th of August 1913,Date
27/06/1985,Date
01/06/1955,Date
22/06/1989,Date
"Sunday, November 30, 2014",Date
"Wednesday, November 25, 1942",Date
19/01/1992,Date
Monday 5th of April 1943,Date
Wednesday 15th of August 1928,Date
07/08/1983,Date
05/06/2009,Date
23/03/1940,Date
"Saturday, August 3, 1996",Date
"Saturday, August 4, 1923",Date
"Saturday, November 24, 1928",Date
20/09/1928,Date
1969-07-19,Date
1924-04-01,Date
Tuesday 26th of April 2016,Date
26/01/1904,Date
1949-12-17,Date
Tuesday 12th of August 1997,Date
"Monday, October 11, 1971",Date
1981-02-07,Date
03/31/1978,Date
23/10/1951,Date
Saturday 23rd of July 1932,Date
23/01/1906,Date
1975-04-11,Date
22/07/1968,Date
2010-07-17,Date
22/11/1962,Date
07/31/1980,Date
04/05/1900,Date
"Tuesday, June 29, 2004",Date
08/08/1990,Date
1998-07-19,Date
12/07/1998,Date
"Monday, March 10, 1902",Date
Wednesday 4th of April 2007,Date
"Wednesday, February 22, 1989",Date
17/08/1976,Date
"Thursday, October 9, 1952",Date
06/02/1962,Date
10/08/1902,Date
17/06/2006,Date
Saturday 24th of September 1977,Date
Thursday 11th of October 2001,Date
1953-10-11,Date
"Wednesday, April 22, 1959",Date
03/02/1972,Date
Sunday 29th of November 1964,Date
09/09/1966,Date
Tuesday 28th of October 1947,Date
1987-08-15,Date
Thursday 28th of February 1901,Date
Sunday 26th of August 2018,Date
"Saturday, November 6, 1915",Date
09/21/1958,Date
Tuesday 25th of October 1977,Date
"Wednesday, January 2, 2002",Date
01/20/1927,Date
"Wednesday, March 24, 1999",Date
04/12/1997,Date
Tuesday 4th of December 1973,Date
1988-01-24,Date
08/03/1962,Date
Sunday 29th of May 1977,Date
06/03/2009,Date
01/21/1927,Date
Saturday 29th of September 1923,Date
Wednesday 13th of July 1988,Date
"Thursday, May 6, 1937",Date
"Tuesday, May 9, 1978",Date
2008-05-01,Date
"Friday, September 30, 1966",Date
Saturday 21st of November 1903,Date
21/07/2011,Date
"Friday, August 24, 1956",Date
18/04/1943,Date
1903-07-24,Date
1908-12-12,Date
27/04/1973,Date
01/28/1922,Date
24/12/2016,Date
11/10/1999,Date
07/08/1907,Date
1945-06-14,Date
"Tuesday, February 24, 1903",Date
28/04/2009,Date
1998-04-26,Date
1971-04-19,Date
01/02/1929,Date
04/30/1961,Date
1962-12-17,Date
Friday 2nd of January 1981,Date
1905-05-26,Date
13/03/1922,Date
08/08/1930,Date
28/08/1988,Date
05/14/1919,Date
2008-11-17,Date
"Wednesday, April 11, 1984",Date
1920-04-15,Date
02/15/1992,Date
"Monday, September 14, 1953",Date
Friday 2nd of June 1939,Date
"Monday, May 19, 1980",Date
24/11/1928,Date
"Saturday, July 8, 1916",Date
"Thursday, December 31, 1914",Date
29/07/1956,Date
2004-10-14,Date
07/30/1970,Date
"Saturday, June 23, 2001",Date
2003-08-12,Date
1953-08-07,Date
1926-07-20,Date
"Tuesday, June 30, 1931",Date
06/07/1937,Date
1985-12-23,Date
1918-01-17,Date
Tuesday 9th of October 1900,Date
"Saturday, September 22, 2001",Date
20/11/2018,Date
2015-05-10,Date
02/04/1953,Date
"Thursday, January 28, 1971",Date
"Saturday, September 12, 1908",Date
07/14/1922,Date
26/08/1946,Date
1901-08-10,Date
29/07/1937,Date
"Saturday, December 15, 2007",Date
1935-08-10,Date
"Thursday, July 1, 1982",Date
23/10/1923,Date
1982-03-05,Date
2017-10-21,Date
12/08/1914,Date
Wednesday 24th of December 1975,Date
"Monday, December 13, 2010",Date
03/10/1915,Date
Thursday 31st of May 2018,Date
"Monday, September 20, 1915",Date
"Sunday, February 14, 1988",Date
Saturday 4th of September 1920,Date
1910-10-23,Date
1922-09-20,Date
1991-07-31,Date
Sunday 1st of May 1932,Date
06/03/1901,Date
21/10/1980,Date
03/26/1921,Date
Sunday 7th of September 1902,Date
Monday 26th of May 1924,Date
Tuesday 22nd of September 2015,Date
1923-01-17,Date
"Tuesday, March 15, 1966",Date
"Thursday, December 17, 1925",Date
"Wednesday, April 13, 1966",Date
Wednesday 20th of September 1989,Date
1957-07-26,Date
10/15/1947,Date
2013-10-10,Date
11/09/1986,Date
24/05/1949,Date
"Monday, May 23, 1988",Date
14/08/1996,Date
29/06/1988,Date
Saturday 23rd of August 1997,Date
17/05/1973,Date
10/22/1903,Date
"Saturday, November 7, 1936",Date
1943-06-23,Date
03/27/1920,Date
01/31/1963,Date
1902-03-08,Date
Friday 11th of September 1981,Date
10/03/2011,Date
24/01/1988,Date
08/02/1944,Date
04/01/1917,Date
1917-05-06,Date
"Monday, December 19, 1927",Date
1988-12-14,Date
"Sunday, October 26, 2014",Date
"Sunday, September 5, 1965",Date
"Sunday, June 20, 1965",Date
17/05/1935,Date
05/15/2011,Date
11/10/1952,Date
"Wednesday, December 31, 1924",Date
"Monday, January 11, 1982",Date
Wednesday 18th of October 1922,Date
"Friday, August 14, 1942",Date
10/09/1909,Date
"Monday, December 7, 1931",Date
AutoGrid Systems,Company name
Quandl,Company name
iRecycle,Company name
Collective IP,Company name
AtSite,Company name
Bing,Company name
PlotWatt,Company name
PlanetEcosystems,Company name
Peterson's,Company name
iFactor Consulting,Company name
SimpleTuition,Company name
Science Exchange,Company name
"Calcbench, Inc.",Company name
Palantir Technologies,Company name
SmartAsset,Company name
Xatori,Company name
Weight Watchers,Company name
"Expert Health Data Programming, Inc.",Company name
Poncho App,Company name
Genability,Company name
Civic Insight,Company name
iMedicare,Company name
Synthicity,Company name
Porch,Company name
Predilytics,Company name
"StreetCred Software, Inc",Company name
PIXIA Corp,Company name
Vital Axiom | Niinja,Company name
FutureAdvisor,Company name
Uber,Company name
DemystData,Company name
MuckRock.com,Company name
Capital Cube,Company name
OpenGov,Company name
"VisualDoD, LLC",Company name
Be Informed,Company name
Sophic Systems Alliance,Company name
Factset,Company name
The Advisory Board Company,Company name
McGraw Hill Financial,Company name
Splunk,Company name
Lending Club,Company name
Zillow,Company name
CAN Capital,Company name
Webitects,Company name
NERA Economic Consulting,Company name
Vimo,Company name
MetLife,Company name
Accela,Company name
IW Financial,Company name
LexisNexis,Company name
Patently-O,Company name
Workhands,Company name
iTriage,Company name
IBM,Company name
Suddath,Company name
"Energy Points, Inc.",Company name
MicroBilt Corporation,Company name
Unigo LLC,Company name
MedWatcher,Company name
Credit Sesame,Company name
Nautilytics,Company name
Whitby Group,Company name
Ranku,Company name
Remi,Company name
FlightStats,Company name
Inrix Traffic,Company name
Inovalon,Company name
Accenture,Company name
CostQuest,Company name
Personal Democracy Media,Company name
Numedii,Company name
Amazon Web Services,Company name
IFI CLAIMS Patent Services,Company name
Russell Investments,Company name
Canon,Company name
FarmLogs,Company name
Environmental Data Resources,Company name
xDayta,Company name
Barchart,Company name
"Morningstar, Inc.",Company name
Funding Circle,Company name
Compliance and Risks,Company name
FindTheBest.com,Company name
Keychain Logistics Corp.,Company name
Asset4,Company name
PlaceILive.com,Company name
Chubb,Company name
WattzOn,Company name
Dun & Bradstreet,Company name
Onvia,Company name
Wolfram Research,Company name
StreamLink Software,Company name
Parsons Brinckerhoff,Company name
EarthObserver App,Company name
OptumInsight,Company name
FlightAware,Company name
ConnectEDU,Company name
realtor.com,Company name
TrustedID,Company name
Government Transaction Services,Company name
Mozio,Company name
Overture Technologies,Company name
RAND Corporation,Company name
gRadiant Research LLC,Company name
Liberty Mutual Insurance Cos.,Company name
Mango Transit,Company name
NextBus,Company name
PatientsLikeMe,Company name
AccuWeather,Company name
"Urban Mapping, Inc",Company name
Alarm.com,Company name
Socrata,Company name
Exversion,Company name
Innovest Systems,Company name
Personalis,Company name
SpeSo Health,Company name
Civis Analytics,Company name
IVES Group Inc,Company name
OpenPlans,Company name
Informatica,Company name
Dow Jones & Co.,Company name
TransparaGov,Company name
Bekins,Company name
Buildingeye,Company name
Sage Bionetworks,Company name
Cerner,Company name
Stormpulse,Company name
"LOGIXDATA, LLC",Company name
Ensco,Company name
Code-N,Company name
Smart Utility Systems,Company name
Tableau Software,Company name
Iodine,Company name
Lilly Open Innovation Drug Discovery,Company name
American Red Ball Movers,Company name
SmartProcure,Company name
US Green Data,Company name
SnapSense,Company name
Nationwide Mutual Insurance Company,Company name
Zonability,Company name
Geofeedia,Company name
CGI,Company name
BillGuard,Company name
LegiStorm,Company name
Clean Power Finance,Company name
Stamen Design,Company name
Charles River Associates,Company name
North American Van Lines,Company name
KPMG,Company name
YourMapper,Company name
OnStar,Company name
The DocGraph Journal,Company name
Rezolve Group,Company name
"Junar, Inc.",Company name
eInstitutional,Company name
Compendia Bioscience Life Technologies,Company name
OnDeck,Company name
TowerData,Company name
"Lumesis, Inc.",Company name
OSIsoft,Company name
HopStop,Company name
ClearStory Data,Company name
DataLogix,Company name
Smartronix,Company name
Aquicore,Company name
Farmers,Company name
Allied Van Lines,Company name
Business Monitor International,Company name
Nielsen,Company name
BaleFire Global,Company name
R R Donnelley,Company name
CareSet Systems,Company name
"KidAdmit, Inc.",Company name
Geoscape,Company name
Cloudmade,Company name
STILLWATER SUPERCOMPUTING INC,Company name
The Govtech Fund,Company name
ProgrammableWeb,Company name
Rivet Software,Company name
Morgan Stanley,Company name
Glassy Media,Company name
ReciPal,Company name
Deloitte,Company name
Charles Schwab Corp.,Company name
Vitals,Company name
SAP,Company name
Arrive Labs,Company name
Civic Impulse LLC,Company name
Simple Energy,Company name
Caspio,Company name
Telenav,Company name
Granicus,Company name
Fitch,Company name
Ez-XBRL,Company name
Captricity,Company name
Mapbox,Company name
Civinomics,Company name
Azavea,Company name
"HealthPocket, Inc.",Company name
Robinson + Yu,Company name
Datamyne,Company name
Revaluate,Company name
TuvaLabs,Company name
Marlin & Associates,Company name
BuildZoom,Company name
CrowdANALYTIX,Company name
Allianz,Company name
SeeClickFix,Company name
J.P. Morgan Chase,Company name
Knowledge Agency,Company name
Zurich Insurance (Risk Room),Company name
Marlin Alter and Associates,Company name
Evidera,Company name
PEV4me.com,Company name
HealthMap,Company name
GenoSpace,Company name
S&P Capital IQ,Company name
Maponics,Company name
Kimono Labs,Company name
Spokeo,Company name
KLD Research,Company name
MarketSense,Company name
United Mayflower,Company name
H3 Biomedicine,Company name
PolicyMap,Company name
InfoCommerce Group,Company name
Harris Corporation,Company name
CitySourced,Company name
Outline,Company name
"Docket Alarm, Inc.",Company name
DataMarket,Company name
FlightView,Company name
Wheaton World Wide Moving,Company name
GitHub,Company name
AllState Insurance Group,Company name
Social Health Insights,Company name
Cappex,Company name
DataMade,Company name
Ecodesk,Company name
Connotate,Company name
Bloomberg,Company name
Progressive Insurance Group,Company name
Construction Monitor LLC,Company name
Adobe Digital Government,Company name
Amida Technology Solutions,Company name
Altova,Company name
PeerJ,Company name
"3 Round Stones, Inc.",Company name
Practice Fusion,Company name
Compared Care,Company name
Mercaris,Company name
SolarList,Company name
Yahoo,Company name
WaterSmart Software,Company name
Relationship Science,Company name
InCadence,Company name
TagniFi,Company name
Oversight Systems,Company name
Retroficiency,Company name
Equifax,Company name
NerdWallet,Company name
Factual,Company name
Fidelity Investments,Company name
"LegiNation, Inc.",Company name
GuideStar,Company name
Geolytics,Company name
Enigma.io,Company name
McKinsey,Company name
Teradata,Company name
SocialEffort Inc,Company name
PublicEngines,Company name
Yelp,Company name
Spikes Cavell Analytic Inc,Company name
Noveda Technologies,Company name
PossibilityU,Company name
PowerAdvocate,Company name
Food+Tech Connect,Company name
Sterling Infosystems,Company name
Quertle,Company name
IMS Health,Company name
Owler,Company name
TrialX,Company name
Import.io,Company name
Code for America,Company name
SpaceCurve,Company name
Boston Consulting Group,Company name
Impaq International,Company name
Weather Underground,Company name
Zoner,Company name
Esri,Company name
Junyo,Company name
Liquid Robotics,Company name
Experian,Company name
Level One Technologies,Company name
Berkshire Hathaway,Company name
Xignite,Company name
Consumer Reports,Company name
OTC Markets,Company name
Healthgrades,Company name
Computer Packages Inc,Company name
First Fuel Software,Company name
Certara,Company name
BlackRock,Company name
Child Care Desk,Company name
Adaptive,Company name
"Aunt Bertha, Inc.",Company name
Cloudspyre,Company name
Thomson Reuters,Company name
State Farm Insurance,Company name
ideas42,Company name
ASC Partners,Company name
MapQuest,Company name
REI Systems,Company name
Bridgewater,Company name
Everyday Health,Company name
StockSmart,Company name
Standard and Poor's,Company name
National Van Lines,Company name
Biovia,Company name
Stevens Worldwide Van Lines,Company name
Recargo,Company name
Aureus Sciences (*Now part of Elsevier),Company name
Avalara,Company name
Cambridge Information Group,Company name
U.S. News Schools,Company name
NonprofitMetrics,Company name
"Ontodia, Inc",Company name
InnoCentive,Company name
ZocDoc,Company name
BetterLesson,Company name
Moody's,Company name
Foursquare,Company name
Housefax,Company name
SAS,Company name
Merrill Corp.,Company name
Apextech LLC,Company name
JJ Keller,Company name
NuCivic,Company name
Municode,Company name
GovTribe,Company name
Eat Shop Sleep,Company name
Archimedes Inc.,Company name
Garmin,Company name
GreatSchools,Company name
Earth Networks,Company name
mHealthCoach,Company name
CoreLogic,Company name
Healthline,Company name
Wolters Kluwer,Company name
The Bridgespan Group,Company name
Xcential,Company name
indoo.rs,Company name
Honest Buildings,Company name
Brightscope,Company name
Walk Score,Company name
Social Explorer,Company name
Reed Elsevier,Company name
Redfin,Company name
Orlin Research,Company name
"Fuzion Apps, Inc.",Company name
CliniCast,Company name
CoolClimate,Company name
LoopNet,Company name
Credit Karma,Company name
Roadify Transit,Company name
"FirstPoint, Inc.",Company name
The Vanguard Group,Company name
Boundless,Company name
Forrester Research,Company name
Oliver Wyman,Company name
GoodGuide,Company name
Govini,Company name
PYA Analytics,Company name
WebFilings,Company name
Gallup,Company name
SpotHero.com,Company name
"PayScale, Inc.",Company name
"College Abacus, an ECMC initiative",Company name
How's My Offer?,Company name
Development Seed,Company name
Paxata,Company name
Thinknum,Company name
optiGov,Company name
Way Better Patents,Company name
Business and Legal Resources,Company name
ClearHealthCosts,Company name
Golden Helix,Company name
Embark,Company name
Epsilon,Company name
Graebel Van Lines,Company name
Ernst & Young LLP,Company name
PricewaterhouseCoopers (PWC),Company name
Tendril,Company name
Optensity,Company name
Propeller Health,Company name
SpotCrime,Company name
Aidin,Company name
Lenddo,Company name
Climate Corporation,Company name
Headlight,Company name
Intermap Technologies,Company name
BuildFax,Company name
Microsoft Windows Azure Marketplace,Company name
Scale Unlimited,Company name
"Personal, Inc.",Company name
Avvo,Company name
Urban Airship,Company name
Analytica,Company name
TrialTrove,Company name
Open Data Nation,Company name
CB Insights,Company name
"Govzilla, Inc.",Company name
Center for Responsive Politics,Company name
Kyruus,Company name
"Graematter, Inc.",Company name
Equal Pay for Women,Company name
TransUnion,Company name
5PSolutions,Company name
Booz Allen Hamilton,Company name
Kroll Bond Ratings Agency,Company name
Kaiser Permanante,Company name
VitalChek,Company name
Knoema,Company name
OpenCounter,Company name
Politify,Company name
Noesis,Company name
Galorath Incorporated,Company name
Equilar,Company name
Verdafero,Company name
Seabourne,Company name
Mint,Company name
GetRaised,Company name
Castle Biosciences,Company name
Panjiva,Company name
IPHIX,Company name
Zebu Compliance Solutions,Company name
CityScan,Company name
Intelius,Company name
Energy Solutions Forum,Company name
Trintech,Company name
(Leg)Cyte,Company name
SigFig,Company name
"Marinexplore, Inc.",Company name
Earthquake Alert!,Company name
Fastcase,Company name
Chemical Abstracts Service,Company name
Trulia,Company name
SlashDB,Company name
Estately,Company name
People Power,Company name
ProPublica,Company name
"Loqate, Inc.",Company name
DataWeave,Company name
Google Maps,Company name
Legal Science Partners,Company name
Votizen,Company name
College Board,Company name
eScholar LLC.,Company name
Lucid,Company name
Rank and Filed,Company name
Impact Forecasting (Aon),Company name
Plus-U,Company name
AreaVibes Inc.,Company name
Google Public Data Explorer,Company name
Cambridge Semantics,Company name
Alltuition,Company name
The Schork Report,Company name
Merrill Lynch,Company name
POPVOX,Company name
CONNECT-DOT LLC.,Company name
"OpportunitySpace, Inc.",Company name
Munetrix,Company name
Arpin Van Lines,Company name
Ceiba Solutions,Company name
Berkery Noyes MandASoft,Company name
LoseIt.com,Company name
StreetEasy,Company name
Abt Associates,Company name
Vizzuality,Company name
BizVizz,Company name
Revelstone,Company name
Symcat,Company name
Quid,Company name
Careset.com,Company name
Atlas Van Lines,Company name
T. Rowe Price,Company name
Dabo Health,Company name
Solar Census,Company name
Copyright Clearance Center,Company name
Weather Decision Technologies,Company name
HERE,Company name
Lawdragon,Company name
"HDScores, Inc",Company name
New Media Parents,Company name
"Qado Energy, Inc.",Company name
48 Factoring Inc.,Company name
Navico,Company name
Appallicious,Company name
Next Step Living,Company name
"Planes, helicopters, and spacecraft",Physical goods
Refined petroleum,Physical goods
Cars,Physical goods
Integrated circuits,Physical goods
Vehicle parts,Physical goods
Pharmaceuticals,Physical goods
Aircraft parts,Physical goods
Medical instruments,Physical goods
